University_name,City,State,University_link,Tuition_Fees_Domestic,Type_of_Institution,Undergraduate_Population,Acceptance_Rate,Average_SAT_ACT_Score,Ranking_National,Graduation_Rate,Percentage_of_International_Students
Institute of Culinary Education,New York,NY,https://www.ice.edu/,49001,Public,27859,78.42132401,964,4118,55.64935142,15.51229596
The Salon Professional Academy-Tonawanda,Tonawanda,NY,www.tspabuffalo.com/,46827,Private,4674,69.47348153,1428,3315,57.15934933,23.38240866
Paul Mitchell the School-NYC,Staten Island,NY,paulmitchell.edu/nyc,17331,Private,28974,91.78442941,1431,1096,92.34524294,4.221903533
Four County Career Center,Archbold,OH,www.fourcounty.net/adulteducation_home.aspx,9694,Public,3184,91.65462646,1141,2759,74.61687822,15.88303772
Summit Salon Academy-Perrysburg,Perrysburg,OH,www.summitsalonacademyperrysburg.edu/,45159,Public,36981,42.14717551,1525,5889,63.30186153,21.83985893
Portland Actors Conservatory,Portland,OR,pac.edu/,22489,Public,5564,14.48251328,1459,3155,84.17669463,4.148722021
Somerset County Technology Center,Somerset,PA,www.sctc.net/dnn/,6258,Public,18314,7.101676252,1376,5546,66.09537366,10.05421127
Metro Beauty Academy,Allentown,PA,https://www.metrobeautyacademy.edu/,26260,Private,5385,62.38910368,1028,3837,85.26512704,6.836428115
Academy for Careers and Technology,Mullins,SC,www.mcact.org/,37345,Private,6271,13.28743409,1160,1191,53.69336451,1.944138872
Love Beauty School Inc,Manchester,TN,www.lovebeautyschool.net/,44326,Public,26274,23.55488208,1295,3628,67.09735297,21.92367294
Houston International College Cardiotech Ultrasound School,Houston,TX,www.cardiotech.org/,24729,Public,34447,15.0102118,916,29,56.47689398,19.73460537
DuVall's School of Cosmetology,Bedford,TX,duvallschool.com/,48178,Private,31966,64.76604501,1248,2162,85.82052549,10.28385347
Texas Beauty College,Haltom city,TX,texasbeautyinfo.com/,46875,Public,6610,47.7062015,966,784,83.41239925,17.13153169
Avenue Five Institute,Austin,TX,www.avenuefive.edu/,44726,Public,30813,74.6072831,1072,2875,66.32153722,23.1189488
The Salon Professional Academy-Lewisville,Lewisville,TX,www.tspadallas.com/,11648,Private,28266,77.1673933,1259,1622,88.37773285,22.23518314
Renaissance Academie,Provo,UT,www.race.edu/,9663,Private,27348,48.30355348,1064,5135,75.27808661,0.799240294
Ascent College,Hampton,VA,ascent.edu/,15041,Public,5835,12.25440197,1396,4646,61.06055044,2.000874188
Institute of Advanced Medical Esthetics,Ashland,VA,www.theinstituteofadvancedmedicalesthetics.com/,31007,Public,1012,14.64234611,845,2383,86.2104023,17.87869962
Aveda Arts & Sciences Institute Seattle,Seattle,WA,avedaarts.edu/,40734,Public,31310,80.15248962,1384,4503,90.5667722,13.48908655
Northwest School of Wooden Boat Building,Port Hadlock,WA,www.nwswb.edu/,38860,Public,22709,54.83228886,1370,2608,60.72539577,13.24883997
The Salon Professional Academy-Onalaska,Onalaska,WI,salonproacademy.com/,41340,Public,16786,11.85462334,868,201,56.00547114,23.34579941
West Coast University-Orange County,Anaheim,CA,westcoastuniversity.edu/,6773,Private,31845,50.33336345,1427,5147,69.66797217,24.860879
West Coast University-Ontario,Ontario,CA,westcoastuniversity.edu/,49141,Private,36324,27.46391586,1164,4674,86.83647356,10.21211045
Paul Mitchell the School-Chicago,Chicago,IL,paulmitchell.edu/chicago,23465,Public,3317,95.2131343,845,5554,81.06787761,2.794165019
Miller-Motte College-Fayetteville,Fayetteville,NC,https://www.miller-motte.edu/,6604,Private,31601,43.75189845,1425,734,62.73311675,0.080534397
Miller-Motte College-Columbus,Columbus,GA,https://www.miller-motte.edu/,5404,Private,20601,62.94479578,1469,1171,87.62164992,14.8748871
The Art Institute of Virginia Beach,Virginia Beach,VA,www.artinstitutes.edu/virginia-beach/,16322,Private,33124,6.295829022,1408,4673,58.07439565,11.52508883
Fortis College-Indianapolis,Indianapolis,IN,https://www.fortis.edu/,16791,Public,14975,78.22098045,887,294,91.17508036,7.279581408
Empire Beauty School-E Memphis,Memphis,TN,www.empire.edu/,15269,Private,9399,17.04308054,1059,1873,67.62314223,2.959467471
Empire Beauty School-Nashville,Brentwood,TN,www.empire.edu/,28708,Private,39159,8.1037044,1462,4391,66.3240242,5.077704677
Empire Beauty School-Jackson,Jackson,TN,www.empire.edu/,46136,Public,21604,30.616281,1386,2083,62.99450388,8.268951211
Empire Beauty School-Springfield,Springfield,PA,www.empire.edu/,27899,Public,23930,99.1073087,1421,5500,70.182857,7.215036469
Empire Beauty School-Speedway,Speedway,IN,www.empire.edu/,48471,Private,22040,40.29567503,1124,907,90.17008266,4.193246085
Empire Beauty School-Morrow,Morrow,GA,www.empire.edu/,38363,Private,32005,20.16648732,1514,3013,65.87740448,2.594612201
Strayer University-Arkansas,Little Rock,AR,www.strayer.edu/campus-locations/arkansas/little-rock,32791,Private,11426,11.6976924,1549,4474,79.78156546,10.47574202
Strayer University-Georgia,Chamblee,GA,www.strayer.edu/campus-locations/georgia/chamblee,24497,Private,23603,21.24744669,1533,6126,50.2363,13.95804893
Strayer University-Mississippi,Jackson,MS,www.strayer.edu/campus-locations/mississippi/jackson,46277,Public,21954,41.40540159,1587,423,52.81225695,3.876582207
Strayer University-South Carolina,Greenville,SC,www.strayer.edu/campus-locations/south-carolina/greenville,6696,Public,12458,93.79480314,902,1715,56.04051654,18.14189675
Strayer University-Texas,Farmers Branch,TX,www.strayer.edu/campus-locations,47323,Public,15367,45.10652935,1407,5503,54.78362488,20.39262201
The Art Institute of San Antonio,San Antonio,TX,www.artinstitutes.edu/san-antonio,6764,Private,38545,54.44817773,1111,2223,94.21337089,1.905427623
Empire Beauty School-Charlotte,Charlotte,NC,www.empire.edu/,49721,Public,24796,72.65474697,1560,6462,91.35515023,18.73777175
Empire Beauty School-Winston-Salem,Winston-Salem,NC,www.empire.edu/,32485,Private,26064,19.83981069,1022,5060,90.6311371,14.83591193
Empire Beauty School-West Palm,West Palm Beach,FL,www.empire.edu/,35281,Private,15468,77.67061005,1381,5887,85.96822809,18.09693945
Empire Beauty School-Pineville,Charlotte,NC,www.empire.edu/,28184,Private,11619,97.97980092,1559,781,71.66286256,4.580059764
Paul Mitchell the School-Phoenix,Phoenix,AZ,paulmitchell.edu/phoenix,44656,Public,10343,49.77225319,961,4603,96.21149583,1.754945581
Paul Mitchell the School-Modesto,Modesto,CA,paulmitchell.edu/modesto,27358,Private,39440,35.00397935,1549,6426,88.10938229,18.60027749
Cosmo Beauty Academy,Sacramento,CA,www.cosmobeautyacademy.edu/,8826,Private,15669,43.77832709,1450,1546,82.50587367,8.561462327
Paul Mitchell the School-Fresno,Fresno,CA,paulmitchell.edu/fresno,25169,Private,5179,5.43310978,1517,6384,79.24365102,17.37075052
Unitek College,Fremont,CA,unitekcollege.edu/,29947,Public,29206,72.79173989,1130,2954,88.80267692,21.48996683
Gurnick Academy of Medical Arts,San Mateo,CA,www.gurnick.edu/,31916,Private,29172,89.66710399,1178,3565,65.27986258,22.75773618
Paul Mitchell the School-East Bay,Pleasant Hill,CA,paulmitchell.edu/eastbay/,20469,Public,34560,26.42630066,894,899,85.81286748,20.96066254
South University-Richmond,Glen Allen,VA,"www.southuniversity.edu/richmond#location=Richmond, VA",31962,Private,33808,59.09039985,1429,149,54.81033253,1.725307299
South University-Virginia Beach,Virginia Beach,VA,"www.southuniversity.edu/virginia-beach#location=Virginia Beach, VA",29772,Private,8893,29.63507343,1223,6307,69.30583986,17.78575279
Aveda Institute-Denver,Denver,CO,avedainspiregreatness.com/denver-campus/,6962,Private,25128,54.60730706,1430,4492,76.04653667,17.42769163
Paul Mitchell the School-Colorado Springs,Colorado Springs,CO,paulmitchell.edu/coloradosprings,18286,Public,32515,53.15197917,1526,4376,71.49533303,20.15708434
The Salon Professional Academy-Colorado Springs,Colorado Springs,CO,www.thesalonprofessionalacademycoloradosprings.com/,14396,Public,29488,20.46052195,875,4337,87.70515642,12.59466229
Paul Mitchell the School-Delaware,Newark,DE,paulmitchell.edu/delaware,21663,Private,21167,78.05117832,1563,3547,60.13954861,13.91549611
Fred K Marchman Technical College,New Port Richey,FL,mtec.pasco.k12.fl.us/,26339,Private,4781,60.3726951,1200,3829,63.66708839,5.48665782
The Salon Professional Academy-Ft Myers,Fort Myers,FL,https://www.tspaftmyers.com/,28267,Private,21973,75.26050379,892,1597,73.23207222,0.713978347
Universal Spa Training Academy,Downers Grove,IL,www.spatrainingacademy.edu/,34547,Private,11601,67.43674363,1253,6401,57.69064619,23.98575846
The Salon Professional Academy-Evansville,Evansville,IN,www.tspaevansville.com/,49221,Private,30843,20.50423564,1054,1941,94.4260194,15.71483731
Tri County Regional Vocational Technical High School,Franklin,MA,www.tri-county.us/,15355,Private,1462,22.95844504,1117,2121,78.8487501,14.47282371
Compass College of Film and Media,Grand Rapids,MI,https://compass.edu/,21313,Private,29613,5.338325357,1519,5390,62.21269645,1.766629959
Nova Academy of Cosmetology,Rochester,MN,www.nova-academy.com/,39544,Public,6624,81.38545426,1586,425,53.2700338,17.09577157
Sage School of Massage & Esthetics,Bend,OR,https://www.sageschoolofmassage.com/,34293,Public,29277,34.58871281,1068,3020,69.59153939,2.870997944
Peloton College,Dallas,TX,www.pelotoncollege.edu/,31723,Private,35323,91.13719769,1036,4772,70.63872912,2.289565565
ABC Beauty Academy,Richardson,TX,www.abcbeautyacademy.webs.com/,48094,Public,16453,54.10469281,1007,2593,78.43303558,1.283716422
Salon & Spa Institute,Brownsville,TX,www.ssi.edu/,39897,Private,17824,75.64509016,1108,4751,74.58817229,24.77373122
American Beauty Academy,Payson,UT,www.americanbeauty.edu/,13475,Private,24396,61.96364388,1025,1948,90.6864875,6.643686997
Summit Salon Academy,Tacoma,WA,www.summitsalonacademy.edu/,25131,Private,35032,80.01147864,1034,5257,81.95287421,22.6016616
Paul Mitchell the School-Milwaukee,Wauwatosa,WI,paulmitchell.edu/milwaukee,26207,Private,32628,59.27800241,1350,5412,81.96093401,23.53161898
Touro University Worldwide,Los Alamitos,CA,https://www.tuw.edu/,47669,Public,30689,92.02030429,845,6124,94.92219216,5.40898614
Touro University California,Vallejo,CA,www.tu.edu/,23785,Private,35583,76.92073676,940,674,91.63847184,15.28908905
The Chicago School of Professional Psychology at Washington DC,Washington,DC,https://www.thechicagoschool.edu/washington-dc/,44044,Public,35394,19.56166688,900,5819,79.32151491,15.39204796
Touro University Nevada,Henderson,NV,www.tun.touro.edu/,14294,Public,26914,8.333987857,1378,5104,91.48721759,17.67470617
Herzing University-Kenosha,Kenosha,WI,https://www.herzing.edu/,23646,Public,39981,76.93771791,917,1452,77.31525936,2.251923189
Herzing University-Brookfield,Brookfield,WI,https://www.herzing.edu/,45843,Public,12904,98.76837797,1279,5874,79.81493243,16.30301918
Texas A&M University-San Antonio,San Antonio,TX,www.tamusa.edu/,41370,Private,6878,41.51191472,881,5779,85.65542116,13.00550097
Fortis Institute,Houston,TX,https://www.fortis.edu/,34666,Private,37730,16.01007853,930,1254,69.57081778,24.47492847
Southern Careers Institute-Brownsville,Brownsville,TX,www.scitexas.edu/,36117,Public,10816,9.152535965,998,1744,76.53292396,2.239764767
Southern Careers Institute-Harlingen,Harlingen,TX,www.scitexas.edu/,10451,Public,9767,17.93576259,885,2900,97.85413604,1.609297312
Strayer University-Global Region,Washington,DC,www.strayer.edu/,33395,Private,8154,37.79627631,1551,4537,79.85759838,6.764021068
Kenneth Shuler School of Cosmetology-Florence,Florence,SC,www.kennethshuler.com/,20368,Public,2134,8.76510313,1334,4001,72.28901193,16.6065878
Fortis College-Columbia,Columbia,SC,https://www.fortis.edu/,28521,Public,37193,13.41548608,1226,5719,70.942038,16.16898808
Ross Medical Education Center-Davison,Davison,MI,https://rosseducation.edu/,22174,Private,28066,31.16344673,1437,1471,78.94436587,23.43603297
Ross Medical Education Center-Granger,Granger,IN,https://rosseducation.edu/,34086,Private,26338,42.39385594,1196,728,57.47985328,5.439382541
Ross Medical Education Center-Niles,Niles,OH,https://rosseducation.edu/,37702,Private,17019,45.60330322,1248,5674,52.47263877,18.91050061
Ross Medical Education Center-Canton,Canton,MI,https://rosseducation.edu/,29534,Public,39712,19.4755066,1372,661,70.06158876,3.678773041
Pima Medical Institute-Houston,Houston,TX,https://pmi.edu/,27047,Private,4043,52.83647805,843,4602,52.98382996,24.11289571
Illinois Media School-Chicago Campus,Chicago,IL,www.beonair.com/chicago,32951,Public,14852,22.74546198,1384,4086,65.3582143,18.72831412
Miller-Motte College-STVT-San Antonio,San Antonio,TX,https://www.stvt.edu/,19854,Private,2321,87.39642574,853,2205,89.91990034,6.689324003
Concorde Career College-Dallas,Dallas,TX,https://www.concorde.edu/campus/dallas-texas,42848,Private,31044,58.44070047,1465,3910,58.80162534,2.073860366
Concorde Career Institute-Orlando,Orlando,FL,https://www.concorde.edu/campus/orlando-florida,46683,Private,28326,95.89813249,932,2118,92.0435637,1.874876296
Concorde Career College-San Antonio,San Antonio,TX,https://www.concorde.edu/campus/san-antonio-texas,39801,Private,6401,98.95925128,892,5903,84.62068338,12.57825383
Johnson & Wales University-Online,Providence,RI,https://online.jwu.edu/?_ga=2.36357734.752362341.1629739669-391300583.1600981500,42266,Private,11053,57.50223721,1514,949,75.24995285,2.892646199
Fairfax University of America,Fairfax,VA,https://www.fxua.edu/,39687,Public,13051,55.22447211,1565,605,57.17301248,22.5411615
Geisinger-Lewistown Hospital School of Nursing,Lewistown,PA,https://www.geisinger.org/geisinger-school-of-nursing,48061,Private,25652,69.79737524,1532,6283,87.19374587,19.92885066
Moreno Valley College,Moreno Valley,CA,www.mvc.edu/,28706,Private,17530,91.90409923,1434,4141,83.39611871,5.638586805
Norco College,Norco,CA,www.norcocollege.edu/Pages/index.aspx,22585,Public,14251,68.75529576,1330,5237,77.94759243,10.80015501
Dorsey College-Saginaw,Saginaw,MI,www.dorsey.edu/,12736,Public,29903,79.29595013,880,1528,64.43988551,6.183055259
Milan Institute-Boise,Boise,ID,www.milaninstitute.edu/,31877,Public,11079,19.5991184,1371,5697,58.61710568,5.058375938
Milan Institute of Cosmetology-El Paso,El Paso,TX,www.milaninstitute.edu/,45959,Public,1610,12.56811807,1102,5100,50.55652767,4.720253433
Universal Technical Institute-Dallas Fort Worth,Irving,TX,www.uti.edu/,12426,Private,33193,32.38998483,1417,4658,95.21754156,3.16962974
ICPR Junior College,Manati,PR,www.icprjc.edu/,11236,Public,31560,21.18709677,1292,624,52.42068699,5.194097693
Artistic Nails and Beauty Academy-Lakeland,Lakeland,FL,https://www.artistic.edu/,26226,Private,21694,88.95500902,1265,5329,88.34957435,7.625905069
Hawaii Medical College,Honolulu,HI,www.hmi.edu/,33796,Public,12720,93.0469556,1333,3645,93.53252125,3.886631085
Carolina College of Hair Design,Asheville,NC,carolinacollege.com/,30024,Public,33308,35.89920306,1315,703,67.08317307,3.922003467
College of Massage Therapy,Blackfoot,ID,www.collegemassagetherapy.com/,14482,Private,25052,66.10945198,1219,4513,69.77107086,22.33503432
Miller-Motte College-Jacksonville,Jacksonville,NC,https://www.miller-motte.edu/,11619,Private,31153,15.12866421,936,678,64.10480689,6.063884991
Miller-Motte College-Augusta,Augusta,GA,https://www.miller-motte.edu/,42775,Private,38888,68.01413768,1570,6171,92.51657933,17.47816929
Miller-Motte College-Conway,Conway,SC,https://www.miller-motte.edu/,27846,Private,23601,90.96310821,1528,2155,63.9983618,23.88151944
Aveda Institute-Portland,Portland,OR,avedapdx.com/,42092,Public,27082,98.57454173,1060,849,68.02701275,19.49177801
Chamberlain University-Virginia,Vienna,VA,https://www.chamberlain.edu/,7756,Private,25215,34.71401735,1136,6170,56.97508077,16.88666082
Penrose Academy,Scottsdale,AZ,penrose.edu/,49154,Public,28752,11.9437134,1340,896,95.46555538,13.27682058
Skin Institute,Saint Louis,MO,www.skininstitute.edu/,9247,Private,21601,26.29728345,911,5530,59.15014027,13.45760672
Beauty Academy of South Florida,Hialeah Gardens,FL,www.basf.edu/,45791,Private,5252,89.20477659,1251,5749,56.28484301,15.33664863
Ogle School Hair Skin Nails-North Dallas,Dallas,TX,www.ogleschool.edu/,29750,Private,33544,45.91958109,1287,5374,65.53447247,23.07931166
The Salon Professional Academy,Sherwood,AR,littlerockbeautyschool.com/,25824,Public,26914,41.96039823,1460,981,56.71825499,16.57540863
The Salon Professional Academy-St Charles,St. Charles,MO,tspastlouis.com/,13530,Public,15208,37.41168476,915,2055,52.92025532,7.248574687
Mildred Elley-New York Campus,New York,NY,www.mildred-elley.edu/,43286,Private,11530,76.96521838,842,1579,57.98314283,23.3095528
National Paralegal College,Phoenix,AZ,https://nationalparalegal.edu/,45025,Public,9543,89.64324971,1103,1679,56.67108051,14.12405708
Carolina College of Biblical Studies,Fayetteville,NC,ccbs.edu/,27914,Private,18706,90.52021457,950,6372,79.26281285,7.246843196
Northeast Technology Center,Pryor,OK,www.netech.edu/,17421,Public,13935,30.59312742,1088,3032,92.63260009,16.27675233
Allstate Hairstyling & Barber College,Cleveland,OH,allstatecollege.com/,19731,Private,8753,93.67911515,1383,3655,91.80741156,7.950053859
Omega Graduate School,Dayton,TN,www.ogs.edu/,8105,Public,30422,78.64744763,1283,6345,80.36897514,24.47184571
Jung Tao School of Classical Chinese Medicine,Sugar Grove,NC,www.jungtao.edu/,34797,Private,31761,64.21676107,1175,131,75.0638354,21.15742825
New York Film Academy,Burbank,CA,www.nyfa.edu/,47625,Private,20587,49.6185742,1146,5641,71.51715452,12.53269201
International College of Cosmetology,Oakland,CA,www.icoc.edu/,10912,Public,38733,69.48341214,1155,4046,94.16413112,0.640688324
Bella Capelli Academy,Monroeville,PA,paulmitchell.edu/monroeville,12069,Private,11961,65.49178867,1064,3966,69.53606922,3.181794082
Institute of Medical Careers,Pittsburgh,PA,https://www.imbc.edu/,8701,Public,26507,15.38491907,1105,2607,73.15474207,8.658689959
Flagler Technical College,Palm Coast,FL,flaglertech.edu/,43042,Private,17048,95.37737776,1122,3373,95.68089341,4.881686409
Galaxy Medical College,North Hollywood,CA,www.galaxymedicalcollege.edu/,27706,Public,39682,97.6303498,1232,4290,54.88231916,18.43881684
American Medical Sciences Center,Glendale,CA,www.amsc.edu/,28016,Private,19045,48.37595189,1472,4512,59.35845151,18.61657194
Mandalyn Academy,American Fork,UT,https://www.mandalynacademy.com/,40716,Private,21889,59.95720549,1538,1659,92.58238247,1.479725167
Jose Maria Vargas University,Pembroke Pines,FL,www.jmvu.edu/,35769,Public,7288,92.22541972,1052,5756,90.03823305,19.49532985
D A Dorsey Technical College,Miami,FL,www.dadorseytech.edu/,27912,Private,26926,64.70411062,1170,428,59.90288094,4.817966931
Keweenaw Bay Ojibwa Community College,Baraga,MI,www.kbocc.edu/,48548,Public,11682,88.29139247,1193,6044,50.82473728,19.42095562
Meridian Institute of Surgical Assisting,Nashville,TN,www.meridian-institute.edu/,18772,Private,24012,42.96753303,1067,3075,61.09510853,5.282829102
Mauna Loa Helicopters,Kailua Kona,HI,maunaloahelicopters.edu/,24599,Public,22963,67.53016568,1172,6416,88.98971839,19.50438339
Acaydia School of Aesthetics,Provo,UT,www.acaydia.com/,7433,Public,25197,6.586621503,1441,2509,73.96854686,22.26846498
Holistic Massage Training Institute,Baltimore,MD,www.massagetrainingbaltimore.com/,43844,Public,12801,16.30054613,826,6189,55.65337252,8.820831671
Diamonds College,Sherman,TX,www.diamondscosmetology.com/,27555,Public,17392,72.67673803,1130,4559,51.24986269,2.309710725
Northern Virginia School of Therapeutic Massage,Falls Church,VA,www.nvschoolofmassage.com/,41696,Private,30733,72.55092952,1026,3125,52.99259511,3.624372859
Paul Mitchell the School-St Louis,St. Louis,MO,paulmitchell.edu/stlouis,5886,Private,24839,83.62607527,1313,5590,81.25405925,5.64070511
Advanced Training Institute,Las Vegas,NV,www.atitraining.edu/,49449,Public,7550,77.62809795,936,5867,71.16888794,6.257818575
Shepherds Theological Seminary,Cary,NC,shepherds.edu/,23753,Public,39393,34.63377255,1103,2243,94.23386165,7.909867156
Taylor Andrews Academy of Hair Design-West Jordan,West Jordan,UT,www.taylorandrew.com/,38274,Private,30882,42.67350469,1390,1981,55.95985742,9.261481767
Santa Ana Beauty Academy,Santa Ana,CA,www.saba-ca.com/index.php,5913,Public,37657,76.47501323,1529,957,89.4410384,22.29354767
Manna University,Fayetteville,NC,https://www.manna.edu/,49419,Private,32906,65.14722998,1151,5162,91.24322186,10.12999513
Evolve Beauty Academy,Washing,MO,evolvebeautyacademy.edu/,20939,Public,30245,40.38474417,1053,3090,60.86898573,10.65315597
Aveda Institute-New Mexico,Albuquerque,NM,www.avedanm.com/,24578,Public,31047,77.6873826,1108,3659,80.23679021,24.15732269
American Trade School,Saint Ann,MO,www.americantradeschool.edu/,25934,Public,9944,86.57122227,1353,1982,67.00377251,1.901043544
Estelle Skin Care and Spa Institute,Skokie,IL,www.estelle.edu/,47711,Public,18340,39.74106978,893,3221,72.36783393,8.50571054
Paul Mitchell the School-Honolulu,Honolulu,HI,paulmitchell.edu/honolulu,13974,Private,10915,40.84921248,1513,4439,84.4932407,23.65219923
Elite Cosmetology School,PALM DESERT,CA,eliteschools.edu/,49751,Private,2863,17.50160847,832,2658,72.51591091,14.41621781
American Technical Institute,Bayamon,PR,www.amtec.edu/,7465,Private,10173,90.39795194,1573,837,58.21815054,17.78276597
Bergin University of Canine Studies,Penngrove,CA,www.berginu.edu/,32574,Public,29158,36.97124645,1085,4377,90.1998422,10.56194629
Aveda Institute-Boise,Boise,ID,www.avedaidaho.com/,37141,Private,33483,89.11974426,925,3501,52.40279313,15.89998101
Pima Medical Institute-Aurora,Aurora,CO,https://pmi.edu/,13830,Private,16509,99.38718232,1387,2317,85.33954774,22.3588468
Capilo School of Hair Design,Augusta,ME,www.capilo.com/,49183,Private,6069,18.98851858,1572,3954,70.603172,12.57033467
Pure Aesthetics Natural Skincare School,Tucson,AZ,https://pureaesthetics.edu/,46309,Public,29818,9.604994284,1197,181,50.48613517,5.704143899
Lindsey Institute of Cosmetology,Bowling Green,KY,www.lindseyinstitute.com/,40651,Public,39762,96.68310537,990,3005,54.06646367,12.9841926
Buckner Barber School,Dallas,TX,bucknerbarberschool.com/,42784,Private,39152,18.10223777,1396,3015,70.74614855,21.93593683
Simmons College of Kentucky,Louisville,KY,https://simmonscollegeky.edu/,10758,Private,31216,34.93588341,1546,2332,91.88289063,21.0671597
Atelier Esthetique Institute of Esthetics,New York,NY,www.aeinstitute.net/,5598,Public,21142,80.56464217,999,5220,88.96866452,5.363695428
Advanced College of Cosmetology,Waupun,WI,www.accsuccess.com/,7972,Public,13145,72.46847276,1125,6188,85.20454238,1.049488375
North American University,Stafford,TX,www.na.edu/,34508,Private,24925,19.04719216,1089,86,86.88570521,3.985643282
United Beauty College,Denver,CO,ubcdenver.edu/,35546,Private,16574,63.81565804,1302,4596,56.83743931,6.506016297
Cinta Aveda Institute,San Francisco,CA,www.cintaaveda.edu/,11835,Private,34655,15.87515083,1019,314,86.07296347,14.5927784
Long Island Nail Skin & Hair Institute,Levittown,NY,www.nailskinhairinstitute.edu/,31921,Private,11562,94.99681583,1014,1064,73.92458218,11.4647959
Keser Torah-Mayan Hatalmud,Lakewood,NJ,www.mayanhatalmud.org/,33871,Private,38971,55.00464632,837,5959,71.324657,10.95784985
Southern California Health Institute,North Hollywood,CA,www.sochi.edu/,23109,Public,25876,95.61923069,1121,5961,89.76858099,0.689857855
Best Care College,East Orange,NJ,bestcarecollege.edu/,6656,Public,15481,86.70036415,836,625,96.4346953,1.003514888
First Class Cosmetology School,Beloit,WI,firstclasscosmetologyschool.com/,28479,Private,6632,38.61057969,1276,3227,76.85104,1.838535222
Millennia Atlantic University,Doral,FL,www.maufl.edu/en/home,22502,Private,7365,65.04862042,1194,1077,54.18359236,22.48637588
Abcott Institute,Southfield,MI,www.abcott.edu/,29265,Public,14730,10.57411376,1564,4133,81.10619438,23.10369615
The Salon Professional Academy-Kenosha,Kenosha,WI,kenoshatspa.com/,46708,Public,22221,31.03777103,909,4586,64.89581092,24.69146551
Paul Mitchell the School-Indianapolis,Indianapolis,IN,paulmitchell.edu/indianapolis,42976,Private,22422,54.69887263,1142,5189,53.64709891,8.650256041
Taylor Andrews Academy-St George,St. George,UT,www.taylorandrewstgeorge.com/,16002,Private,23526,47.21225098,1176,53,91.80282544,7.3977975
Protege Academy,East Lansing,MI,www.protegeacademy.com/,9750,Public,36152,41.89811816,865,5872,82.00184843,9.645645041
Colorado Academy of Veterinary Technology,Colorado Springs,CO,www.cavt.edu/,29674,Private,27255,58.50588391,1409,2304,77.04493518,17.73944948
Northeast Technical Institute,Scarborough,ME,ntinow.edu/,46319,Private,24340,61.17842825,1169,2146,52.7385641,3.923226893
Elite School of Cosmetology,Norwalk,OH,https://es.edu/,17559,Public,22451,51.51605824,886,833,92.59571773,15.23827399
Paul Mitchell the School-Las Vegas,Las Vegas,NV,paulmitchell.edu/lasvegas,13214,Private,15639,24.74363841,1598,5327,96.04824641,18.71227283
Summit Salon Academy-Kokomo,Kokomo,IN,kokomobeautyschool.com/,5029,Public,32283,99.81580242,1137,5516,73.94214452,5.941406719
Florida Academy,Fort Myers,FL,https://florida-academy.edu/,27496,Private,35509,73.56450451,1438,2596,68.71578341,9.683892049
Institute for Doctoral Studies in the Visual Arts,Portland,ME,https://www.idsva.edu/,12099,Public,23608,77.86828472,999,3012,70.32381421,2.9681477
State Career College,Gurnee,IL,www.statecareercollege.edu/,49716,Private,6623,69.85615397,1143,2363,73.43173882,14.41742532
Academy for Salon Professionals,Northridge,CA,www.academyla.com/,28730,Public,1334,12.04963558,1174,3664,84.22885424,9.932696406
Paul Mitchell the School-Spokane,Spokane Valley,WA,paulmitchell.edu/spokane,38232,Public,24088,95.60414318,869,5258,84.7259976,15.35332202
International College of Beauty Arts & Sciences,Los Angeles,CA,www.icbas.edu/,29816,Public,18113,24.37793504,1118,1710,84.01817898,8.673690585
The Salon Professional Academy,Plainfield,IL,www.tspashorewood.com/,21794,Private,25329,83.60054023,1237,2749,84.55576484,24.74416717
John Paul the Great Catholic University,Escondido,CA,https://jpcatholic.edu/,35662,Private,13744,94.2844552,1575,5001,58.87028296,4.358081642
University of Connecticut-Hartford Campus,Hartford,CT,hartford.uconn.edu/,34891,Private,20776,63.94472598,1277,6058,85.1921363,2.670774615
Ottawa University-Surprise,Surprise,AZ,www.ottawa.edu/ouaz/home/,32948,Public,29645,94.36048487,1249,5231,59.53113125,1.257162786
Chamberlain University-Missouri,St. Louis,MO,https://www.chamberlain.edu/,49782,Private,17741,14.64581311,1530,2694,82.32279823,1.937129931
Chamberlain University-Texas,Houston,TX,https://www.chamberlain.edu/,23237,Private,34688,52.50831859,1301,6448,75.98815027,6.348977651
Continental School of Beauty Culture-Mattydale,Mattydale,NY,continentalschoolofbeauty.edu/,34754,Private,4118,65.49470516,1338,5444,74.96148617,7.095626439
Carrington College-Ontario,Ontario,CA,https://carrington.edu/,10279,Public,32554,45.08717716,1133,2721,50.43468979,9.81930258
Paul Mitchell the School-Columbia,West Columbia,SC,paulmitchell.edu/columbia,6259,Private,30314,73.08818208,1175,3123,72.48986622,2.23405314
Paul Mitchell the School-Charleston,North Charleston,SC,paulmitchell.edu/charleston,14038,Private,23837,29.75467348,1367,6033,88.90837979,17.69997873
Kenneth Shuler School of Cosmetology-Greenville,Greenville,SC,www.kennethshuler.com/,49409,Private,18990,62.25109409,958,99,54.45218245,7.638132107
Northwest College-Eugene,Springfield,OR,www.nwcollege.edu/,38706,Private,17473,94.98698975,1277,1359,63.52292009,6.331283884
Northwest College-Tualatin,Tualatin,OR,www.nwcollege.edu/,46587,Public,7787,55.66937483,1446,5730,62.15279185,11.00262306
San Joaquin Valley College-Hanford Classroom,Hanford,CA,www.sjvc.edu/,46570,Private,8743,58.60699346,1356,1264,73.13284849,2.290400065
